,Provider Demographic Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External ID ,External ID Type ,Salutation,Pronouns,First Name ,Middle Name,Last Name,Alternate First Name,Alternate Middle Name,Alternate Last Name,Alternate Name Start Date,Alternate Name End Date,Provider Type,National Provider Identification Number (NPI),Auto-Verify NPI?,Social Security Number (SSN),Birth Date,Country of Birth,State of Birth,City of Birth,Gender,Ethnicity,Citizenship,Work Visa Type,Visa Expiration,Visa Number,Accepting New Patients,Languages Spoken,Marital Status,Spouse Full Name,Corporate Employment Type,Supervising Physician's Name,Time in this Position Start Date,Time in this Position End Date,Specialty,Subspecialty,Taxonomy,Medicare Number,Medicaid Number,Login Email/Contact Email,Other Email,Home Phone,Mobile Phone,Pager,Preferred Contact Method,Address Line 1,Address Line 2,City,State,Zip,Country,Emergency Contact First Name,Emergency Contact Last Name,Emergency Contact Phone Number,Emergency Contact Email,Tax ID,Tax Name,Provider ID,Internal ID,EMR ID,SSO ID,Suffix,Preferred Name,Alternate Name Suffix,UPIN,County of Birth,Spouse Phone Number,Military Start Date,Military End Date,Military Branch,Military Status,Military Title,County,Assistant Name,Assistant Email,Assistant Phone,Preferred Credentials,Affiliation Verification Available,Primary Credentialing Specialist Email,Disable Expiring Notifications,Provider User Defined Fields (new fields should always be positioned before these)
Header Notes:,^(leave blank to create new),^(leave blank to create new),,,Required Field,,Required Field,,,,,,,,,,,,,,,,,,,,,values should be pipe-delimited (|),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multi-select UDF's are pipe-delimited (""|"")"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,First Name,50,Validate fields does not exceed character limit,First Name exceeds character limit of 50,,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,First Name is not provided,First Name required,,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import ,Warning,,,,First Name matches first name of existing provider ,,,"Preferred Contact Method options: Login Email, Other Email, Home Phone, Mobile Phone, Pager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
