Don Henderson,"Upperline Healthplan, PC/TN","Upperline Healthplan, PC/TN","Upperline Healthplan, PC/GA","Advanced Foot plan, LLP.",Village Podiatry Group
NPI#1780683136,Tax ID: 83-2410144,Tax ID: 83-2410144,Tax ID: 83-2410144,Tax ID: 63-1765082,Tax ID:  58-1004261
,Group NPI: 9938686498,Group NPI: 9938686498,Group NPI: 9938686498,Group NPI: 9918020361,Group NPI 1508846718
,Mediplan PID: 103G709225,Mediplan PID: 103G709225,Mediplan Group PID: 6678,Mediplan PID: 202I482016,Mediplan PID:  G09887A
,RRMediplan: DY6194,RRMediplan: DY6194,RRMediplan: EB2903,RRMediplan: P01636612,RR Mediplan PID:
,,,,,
,DIRECT CONTRACTS,DIRECT CONTRACTS,The Eggbert Network,DIRECT CONTRACTS,GEORGIA PLANS -  Only when seeing patients in Georgia (Dalton or Fort O)
Mediplan,Effective 10/01/2021,N/A,N/A,PAR,PAR
RR Mediplan,Effective 10/01/2021,N/A,N/A,PAR,PAR
Medicaid,Effective 10/01/2021,N/A,N/A,PAR,PAR
"Medicaid- By Location, Hosptial and/or Sx Center",,,,,
    Gunbarrel Rd,,N/A,Effective 02/01/00- ID#003191588S,N/A,N/A
    Parkridge East,,N/A,Effective 08/01/00- ID#003191588X,PAR- ID# 013191588P,N/A
    Memorial Hospital,,N/A,Effective 08/01/00- ID#003191588V,N/A,N/A
    Memorial Northpark,,N/A,Effective 08/01/00- ID#003191588U,N/A,N/A
    Parkridge Medical Center,,N/A,Effective 08/01/00- ID#003191588W,PAR- ID# 013191588O,N/A
    East Brainerd,,N/A,N/A,PAR- ID# 013191588R,N/A
    Dalton ,,N/A,N/A,PAR- ID# 013191588E,PAR- ID# 013191588I
    Fort O,,N/A,N/A,PAR- ID# 013191588F,PAR- ID# 013191588J
DME (BY LOCATION-NOT DOCTOR SPECIFIC),PID/NPI,PID/NPI,PID/NPI,PID/NPI,PID/NPI
    GA- Dalton,,N/A,N/A,N/A,2203400049 / 1265952923
    GA- Fort O,,N/A,N/A,N/A,2203400048 / 1467985382
    TN- Cleveland,,N/A,N/A,4400970010 / 1700391349,N/A
    TN- Athens,,N/A,N/A,4400970022 / 2254836708,N/A
    TN- Brainerd,,N/A,N/A,4400970005 / 1972666766,N/A
    TN- Hixson,,N/A,N/A,4400970006 / 1023171816,N/A
    TN- East Brainerd,,N/A,N/A,4400970007 / 1730242520,N/A
Aetna/GEHA,Effective 12/20/2021,N/A,Effective 03/01/2023,PAR,PAR
Aetna - GA (Includes Exchange (HQP),Effective 04/27/2023,N/A,Effective 03/01/2023,NON-PAR,PAR
Alliant Healthplan ,,N/A,Effective 03/01/24 (Non Eggbert Contract)- Dalton ONLY,NON-PAR,NON-PAR
Ambetter TN,Effective 02/03/2021,N/A,Effective 12/10/2022,PAR,NON-PAR
Ambetter GA,12/10/2022,N/A,Effective 12/10/2022,PAR,PAR
Amerigroup,Par,N/A,NON-PAR,PAR,PAR
BCBS of GA,Effective 04/27/2023,N/A,Effective 04/27/2023,PAR,PAR
BCBS TN (LOBs Below),Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    Blue Network P,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    Blue Network S,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    BlueAdvantage PPO,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    Blueplan,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    Blueplan Plus,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
    Tennplan Select,Effective 10/29/2021,N/A,Effective 04/27/2023,PAR,NON-PAR
Bright Health Plan,Non-Par,N/A,NON-PAR,NON-PAR,NON-PAR
plansource Medicaid - Georgia,N/A,N/A,Effective 12/10/2022,PAR,PAR
plansource Marketplace - Georgia,In Process,N/A,NON-PAR,PAR,PAR
plansource Marketplace - Tennessee,Non-Par,N/A,NON-PAR,PAR,NON-PAR
plansource Mediplan SNP - Georgia,In Process,N/A,NON-PAR,PAR,PAR
ChampVA,Par,N/A,PAR,PAR,PAR
Cigna - TN,Effective 10/12/21,N/A,Effective 12/10/2022,PAR,NON-PAR
Cigna - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR
Cigna Local Plus,Non-Par,N/A,NON-PAR,PAR,NON-PAR
Cigna Connect,Non-Par,N/A,NON-PAR,PAR,NON-PAR
Cigna Health Spring TN,N/A,N/A,Effective 12/10/2022,PAR,NON-PAR
Cigna Health Spring - GA (PPO & HMO),N/A,N/A,Effective 12/10/2022,PAR,PAR
Clover Health - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,NON-PAR
Coventry HC - GA,Effective 04/27/2023,N/A,Effective 03/01/2023,NON-PAR,PAR
Corvel,Effective 12/10/2022,N/A,Effective 12/10/2022,NON-PAR,NON-PAR
Devoted Health,Effective 01/01/2023 (E. Brainerd & Hixson),Effective 01/01/2023 (E. Brainerd & Hixson),N/A,NON-PAR,NON-PAR
First Health- GA,N/A,N/A,Effective 03/01/2023,NON-PAR,PAR
Galaxy Health Plan - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,NON-PAR
Humana - TN,N/A,N/A,Effective 12/10/2022,PAR,NON-PAR
Humana GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR
