Global Privilege Import Format,,,,,,,,
Privilege Name,ICD/CPT Code,Specialty,Subspecialty,Description,,,,
required field,,values should be pipe-delimited (|),values should be pipe-delimited (|),,,,,
,,,,,,,,
Field Validations,,,,,,,,
Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,
File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,
,,,,,,,Red text means these fields are required - do not omit,
File,Error,Privilege Name,,Privilege Name is not provided,Privilege Name required,,"Global Privilege Importer is ADD only, no updating",
File,Error,Privilege Name,100,Privilege Name does not exceed character limit,Privilege Name exceeds character limit of 100,,"To import multiple values for Specialty and Subspecialty, use ""|"" character between values (spaces don't matter). Example: ""Cardiology|Pediatrics""",
File,Error,ICD/CPT Code,,ICD/CPT Code is not provided,ICD/CPT Code required,,Specialty and Subspecialty fields should fail character count (100 characters) validation if the cell contents are separated by a pipe,
File,Error,,50,ICD/CPT Code does not exceed character limit,ICD/CPT Code exceeds character limit of 50,,,
File,Warning,,,ICD/CPT Code not already in use by another Global Privilege within the import file,ICD/CPT Code not unique,,^ (CRED-30524),
Import,Warning,,,ICD/CPT Code not already in use by another Global Privilege within the system,"ICD/CPT Code '[duplicate code]' already exists in the system, but record was successfully imported. ICD/CPT Code can be edited in-app.",,,
File ,Error,Specialty,,Specialty is not provided,Specialty required,,,
File,Error,,100,Validate fields does not exceed character limit,Specialty exceeds character limit of 100,,,
Import,Error,,,Validate imported value exists in Specialty List Management,Specialty not supported,,,
File,Error,Subspecialty,100,Validate fields does not exceed character limit,Subspecialty exceeds character limit of 100,,,
Import,Error,,,Validate imported value exists in Specialty List Management,Subspecialty not supported,,,
File,Error,Description,10000,Description does not exceed character limit,Description exceeds character limit of 10000,,,
