,Location Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External ID,External ID Type,Location Name,DBA,Legal Business Name,Corporate Entity,Taxonomy,Specialty,Location ID,Region,Affiliation Verification Available,Location Detail IDs Same as Corporate Entity,NPI Number,Tax ID,Medicare ID,Medicaid ID,Contact Information Same as Corporate Entity,Contact Country,Contact Address Line 1,Contact Address Line 2,Contact City,Contact County,Contact State/Province,Contact Zip,Contact Email,Contact Phone Number,Contact Ext.,Contact Fax,Website,Correspondence Same as Corporate Entity,Correspondence Name,Correspondence Title,Correspondence Country,Correspondence Address Line 1,Correspondence Address Line 2,Correspondence City,Correspondence County,Correspondence State/Province,Correspondence Zip,Correspondence Email,Correspondence Phone Number,Correspondence Ext.,Correspondence Fax,Sunday Start Time,Sunday End Time,Sunday Closed,Monday Start Time,Monday End Time,Monday Closed,Tuesday Start Time,Tuesday End Time,Tuesday Closed,Wednesday Start Time,Wednesday End Time,Wednesday Closed,Thursday Start Time,Thursday End Time,Thursday Closed,Friday Start Time,Friday End Time,Friday Closed,Saturday Start Time,Saturday End Time,Saturday Closed,Billing Address Same as Corporate Entity,Billing Name,Billing Country,Billing Address Line 1 ,Billing Address Line 2,Billing City,Billing County,Billing State/Province,Billing Zip,Billing Email,Billing Phone Number,Billing Ext.,Billing Fax,General Notes,Instructions,Location Category,Location Type,Exclude From Workforce Connection,Exclude from HL7 Integration,Provider User Defined Fields (new fields should always be positioned before these)
Notes:,"Required key field for updating, optional when adding (see General Notes)","Required key field for updating, optional when adding (see General Notes)
(two options for this field: ""Location Key"" or ""Location ID"")",required field,,,required field,,,"- use ""|"" as delimiter character                - When updating, ALL Location ID's in .csv must match with ALL Location ID's for existing Location     - Each Location ID needs to be unique and can only be used in one Location",,,"if ""Y"", .csv import ignored for all fields in Location Detail ID's section and Corporate Entity values for these fields imported instead",,,,,"if ""Y"", .csv import ignored for all fields in Contact Information section and Corporate Entity values for these fields imported instead",,,,,,,,,,,,,"if ""Y"", .csv import ignored for all fields in Correspondence section and Corporate Entity values for these fields imported instead",,,,,,,,,,,,,,,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported",,,"If Closed = ""Y"", Start and End Times for that day ignored and not imported","if ""Y"", .csv import ignored for all fields in Billing Address section and Corporate Entity values for these fields imported instead",,,,,,,,,,,,,,,,,,,"Multi-select UDF's are pipe-delimited (""|"")"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Location Name,,Location Name is not provided,Location Name required,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,100,Location Name does not exceed character limit,Location Name exceeds character limit of 100,,Yellow cells indicate Key Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,More than one record in .csv file has same Location Name value,Location Name must be unique,,Field colors and outlines in Field Validations table and headers are organized by the fields that comprise each section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
