,Payer Import Format,,,,,,,,,,,,,,,,,,,,,,,,
,Payer Name,Plan/Line of Business,State(s),Website,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,General Notes,Instructions,Line of Business Notes,Location Keys,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,
,File,Error,Payer Name,,Validate that Payer Name has been provided,Payer Name required,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,
,File,Error,Payer Name,100,Validate character limit.,Payer Name exceeds character limit of 100.,,State(s) column supports importing a comma-delimited list of values.,,,,,,,,,,,,,,,,,
,File,Error,Plan/Line of Business,100,Validate character limit.,Plan/Line of Business exceeds character limit of 100.,,Location Keys column supports importing a comma-delimited list of values.,,,,,,,,,,,,,,,,,
,File,Error,State(s),,"Validate each imported state values match a value on State drop-down 
",State value(s) [invalid values] not supported,,,,,,,,,,,,,,,,,,,
,File,Error,Website,2047,Website is not formatted properly,URL not valid,,,,,,,,,,,,,,,,,,,
,File,Error,,,Validate field does not exceed character limit ,Website exceeds character limit of 2047,,,,,,,,,,,,,,,,,,,
,File,Error,Primary Contact Name,50,Validate character limit,Primary Contact Name exceeds character limit of 50.,,,,,,,,,,,,,,,,,,,
,File,Error,Primary Contact Email,100,Validate chacter limit,Primary Contact Email exceeds character limit of 100.,,,,,,,,,,,,,,,,,,,
,File,Error,,,Email address does not adhere to username@domain.com format.,Primary Contact Email is not a valid email.,,,,,,,,,,,,,,,,,,,
,File,Error,Primary Contact Phone,,"Phone Number is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Primary Contact Phone must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,
,File,Error,Primary Contact Fax,,"Contact Fax not 9, 10, or 12 digits (also fails if formatting included)","Primary Contact Fax must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,
,File,Error,Secondary Contact Name,50,Validate character limit,Secondary Contact Name exceeds character limit of 50.,,,,,,,,,,,,,,,,,,,
,File,Error,Secondary Contact Email,100,Validate character limit,Secondary Contact Email exceeds character limit of 100.,,,,,,,,,,,,,,,,,,,
,File,Error,,,Email address does not adhere to username@domain.com format.,Secondary Contact Email is not a valid email.,,,,,,,,,,,,,,,,,,,
,File,Error,Secondary Contact Phone,,"Phone Number is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Secondary Contact Phone must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,
,File,Error,Secondary Contact Fax,,"Contact Fax not 9, 10, or 12 digits (also fails if formatting included)","Secondary Contact Fax must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,
,File,Error,General Notes,"10,000",Validate character limit,General Notes exceeds character limit of 10000.,,,,,,,,,,,,,,,,,,,
,File,Error,Instructions,"10,000",Validate character limit,Instructions exceeds character limit of 10000.,,,,,,,,,,,,,,,,,,,
,File,Error,Line of Business Notes,"10,000",Validate character limit,Line of Business Notes exceeds character limit of 10000.,,,,,,,,,,,,,,,,,,,
,File,Error,Payer Name + Line of Business,,Multiple rows for the same Payer Name + Line of Business combination exist in the file. Take first line found and return error for additional lines. ,Line {rowNumber} failed because attempting to populate same record as Line {firstOccurrenceRowNumber}.,,,,,,,,,,,,,,,,,,,
,Import,Error,Payer Name + Line of Business,,Validate Payer Name + Line of Business do not already exist in the company (archived or unarchived),Payer already exists in company. ,,,,,,,,,,,,,,,,,,,
,File,Error,Location Keys,,"Location Key does not adhere to XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX format (8,4,4,4,12 characters, respectively). When importing multiple locations, list should be comma-delimited with no whitespace between.",Location Key must be a valid GUID. Multiple Keys must be comma-delimited.,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Location Key in correct format does not match an existing Location Key within the Company,No matching location found.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CRED-37673,,,,,,,,,,,,,,,,,,,,,,,,
