,Professional Training Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Training Type,Department / Program,Specialty,Institution / Hospital Name,Website,Institution Email,Address Line 1,Address Line 2,City,State,Zip,Country,Institution Phone Number,Ext.,Fax,Director's Name,Phone Number,Email,Start Date,End Date,Did you complete this training?,Anticipated Completion Date,Viewable by Provider,ACGME
Header notes:,^(Dummy Field),"Key field for updating, Required field","Key field for updating, Required field",Required Field,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,,General Notes ,,,,,,,,,,,,,,,,,,
,File,Error,Training Type,,Training Type matches a value on a drop-down,Training Type not supported,,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,
,File,Error,Department / Program,100,Validate field does not exceed character limit ,Department / Program exceeds character limit of 100,,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,
,File,Error,Specialty,100,Validate field does not exceed character limit ,Specialty exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,
,Import,Error,Specialty,,Validate Specialty has been defined on Setup > List Management > Specialty,Specialty not supported,,,"Valid Training Types: Internship, Residency, Fellowship, Faculty Position/Academic Employment, Other",,,,,,,,,,,,,,,,,,
,File,Error,Website,500,Validate Website is formatted as a URL,Website is not a valid URL,,,,,,,,,,,,,,,,,,,,,
,,,,,Validate Website does not exceed character limit,Website exceeds character limit of 500,,,,,,,,,,,,,,,,,,,,,
,File,Error,Institution Email,,Email address does not adhere to username@domain.com format,'Institution Email' is not a valid email address.,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 1,100,Validate field does not exceed character limit ,Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 2,50,Validate field does not exceed character limit ,Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,
