,Professional Training Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Training Type,Department / Program,Specialty,Institution / Hospital Name,Institution Email,Address Line 1,Address Line 2,City,State,Zip,Country,Institution Phone Number,Ext.,Fax,Director's Name,Phone Number,Email,Start Date,End Date,Training Status,Anticipated Completion Date,Record Viewable by Provider,ACGME,Website,File Viewable by Provider,Ignore Required Fields Validation?,File Key,
Header notes:,^(Dummy Field),"Key field for updating, Required field","Key field for updating, Required field","Key field for updating, Required Field",Key field for updating,,Key field for updating,,,,,,,,,,,,,,key field for updating,key field for updating,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Training Type,,Training Type matches a value on a drop-down,Training Type not supported,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Department / Program,100,Validate field does not exceed character limit ,Department / Program exceeds character limit of 100,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Specialty,100,Validate field does not exceed character limit ,Specialty exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,Specialty,,Validate Specialty has been defined on Setup > List Management > Specialty,Specialty not supported,,"Valid Training Types: Internship, Residency, Internship/Residency, Chief Residency, Fellowship, Post Doctoral Fellowship, Faculty Position/Academic Employment, Other",,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Institution Email,,Email address does not adhere to username@domain.com format,'Institution Email' is not a valid email address.,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 1,100,Validate field does not exceed character limit ,Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 2,50,Validate field does not exceed character limit ,Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,City,50,Validate field does not exceed character limit ,City exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,State,50,State matches a value on state drop-down (abbreviation),State not supported,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,State does not exceed 50 chars,State exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,State does not contain any non-ascii characters,State not supported,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State.,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Zip,,Zip is not 5 or 9 digits,"Zip is not 5, 6, or 9 digits",,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Country,100,Country matches a value on Country drop-down,Country is not recognized,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, Country is in import file and differs from Country on record.",Country and State must be provided when updating Country or a record with State.,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Institution Phone Number,,"Phone Number is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Institution Phone Number must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Ext.,20,Validate field does not exceed character limit ,Ext.' must be a number up to 20 digits in length,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Fax,,"Fax is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Fax must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Director's Name,100,Validate field does not exceed character limit ,Director's Name exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Phone Number,,"Phone Number is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Phone Number must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Email,,Email address does not adhere to username@domain.com format,'Email' is not a valid email address.,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Start Date,,Date does not adhere to m/d/yyyy format OR date is inavalid (ie - 9/31/2022),Start Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,
