 ,Provider Appointment Dates Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Location Name,Location Key,Workflow Type,Workflow Name,Workflow Key,Resolution,Appointment Date,Reappointment Date,Reappointment Notification Date,Inactive Date,Notes,Provider Category,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header notes:,^(Dummy Field),,,^(Dummy Field),Required Field,Required Field,^(Dummy Field),Required Field,Required when Workflow Type = Appointment,Required when Resolution = Approved,Required when Resolution = Approved,,"Required when Workflow Type  = ""Provider - Location Termination""","Optional, Required when Resolution = Denied",,,,,,,,,,,,,,,,,,,,
,Provider Name,1234567890,NPI,Location,XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX,,Workflow,XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX,Approved,12/10/2020,12/11/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Location Name,,,,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Location Key,,Location Key is not provided by user,Location Key required,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Location Key does not adhere to XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX format (8,4,4,4,12 characters, respectively)",Location Key must be a valid GUID,,"Keys are alphanumeric in an 8-4-4-4-12 character format, with the letters and numbers being randomly distributed",,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Location Key in correct format does not match an existing Location Key within the Company,No matching location found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Location Key does not match a location assigned to the Provider,Provider is not assigned to this location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Workflow Type,,Workflow Type is not provided by user,Workflow Type required,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Workflow Type value does not match ""Appointment"" or ""Provider - Location Termination""",Workflow Type not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Workflow Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Workflow Key,,Workflow Key is not provided by user,Workflow Key required,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Workflow Key does not adhere to XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX format (8,4,4,4,12 characters, respectively)",Workflow Key must be a valid GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Workflow Key in correct format does not match an existing Workflow of the Workflow Type within the Company,Workflow Type and Workflow Key mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Workflow Key in correct format does not match an existing Workflow Key within the Company,No matching workflow found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Resolution,,Resolution is not provided by user when Workflow Type=Appointment,Resolution required,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Resolution is provided by user when Workflow Type=""Provider - Location Termination""",Resolution can only be input if Workflow Type is Appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Resolution value does not match ""Approved"", ""Withdrawn"", ""Denied"", or ""Approved - Historical Only""",Resolution not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Appointment Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Appointment Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Appointment Date is entered when Resolution status is not ""Approved"" ",Appointment Date can only be input if Resolution is Approved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Reappointment Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Reappointment Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,Reappointment Date provided is earlier than Appointment Date provided,Reappointment Date must be after Appointment Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Re-Enrollment Date is entered when Resolution status is not ""Approved"" ",Reappointment Date can only be input if Resolution is Approved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,"Re-Enrollment Date is entered when Workflow Type is not ""Appointment"" ",Reappointment Date can only be input if Workflow Type is Appointment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Reappointment Notification Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Notification Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,Reappointment Notification Date provided is same day or later than Reappointment Date provided,Notification Date must be before Reappointment Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,Reappointment Notification Date entered is more than 999 days before Reappointment Date,Notification Date must be between 1 and 999 days before Reappointment Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Inactive Date,,"Inactive is entered when Workflow Type is not ""Provider - Location Termination""","Inactive Date can only be input if Workflow Type is ""Provider - Location Termination""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
