,Provider Location Details Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Location Name,Location Key,Placement Date,Location Employment Type,Specialty,Taxonomy,Contract Start,Contracted Hours,Expected Start Date,Credentialing Override,End Date,Pending Date,First Shift,Last Shift,Location Preference,Sees Patients?,Provider Location Archived?,Provider User Defined Fields (new fields should always be positioned before these),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header Notes ,Dummy Column ,Required field,"Key field for updating, Required field",Dummy Column ,Required Field,,,,,,,,,,,,,,,,"Multi-select UDF's are pipe-delimited (""|"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Location Key,,"If not left empty, validate field must be Y or N",Admitting Privileges must be Y or N,,"Users can add multiple Specialties using a ""|"" to separate each specialty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Placement Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Placement Date must be formatted as m/d/yyyy,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Taxonomy,100,Validate field does not exceed character limit ,Taxonomy exceeds character limit of 100,,Leaving fields blank will leave them unchanged on update of records and blank for new records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Contract Start,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Contract Start must be formatted as m/d/yyyy,,"If the text ""None"" appears in a field, field should be cleared (or any case-insensitive permutation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Contracted Hours,10,Validate field does not exceed character limit,Contracted Hours exceeds character limit of 10,,"Use a ""|"" character to delimit values imported into multi-select user defined fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Expected Start Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Expected Start Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Credentialing Override,,"Value must be either ""End Date"", ""Pending"", ""None"", or null",Credentialing Override not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,End Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),End Date not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,End Date,,"If Credentialing Override value = ""End Date"", this field is required",End Date required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,Pending Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Pending Date not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
