,Provider Privileges Import Format,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Location Name,Location Key,Privilege Name,Conditions,Appt. Date,Reappt. Date,Status,Granted By,Ignore Required Fields Validation?,,,,,,,,,,,,,
Header Notes:,^(Dummy Column),Required field,Required field,^(Dummy Field),Required field,Required field,,only required when Status = Approved. Ignore and do not validate otherwise,only required when Status = Approved. Ignore and do not validate otherwise,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,,General Notes ,,,,,,,,,,,,,,,,
,File,Error,Location Name,,,,,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,
,File,Error,Location Key,,Location Key is not provided by user,Location Key required,,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,
,File,Error,,,"Location Key does not adhere to XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX format (8,4,4,4,12 characters, respectively)",Location Key must be a valid GUID,,,Yellow cells indicate Key Fields,,,,,,,,,,,,,,,,
,Import,Error,,,Location Key in correct format does not match an existing Location Key within the Company,No matching location found.,,,"Location Key is alphanumeric in an 8-4-4-4-12 character format, with the letters and numbers being randomly distributed",,,,,,,,,,,,,,,,
,Import,Error,,,Location Key does not match a location assigned to the Provider,Provider is not assigned to this location.,,,Privilege Name matches on a Privilege's Override Name,,,,,,,,,,,,,,,,
,Import,Error,Privilege Name,,Validate Privilege Name matches an existing Privilege Name,“Privilege Name does not match an existing Privilege Name within the Company”,,,This import is only for individual Privileges NOT Sets,,,,,,,,,,,,,,,,
,Import,Error,,,Two Privileges in the company share an Override name,"""Privilege Name matches more than one existing Privilege""",,,,,,,,,,,,,,,,,,,
,Import,Warning,,,"Privilege Provider Type, Specialty, and/or Sub-Specialty does not match the Provider Type, Specialty, and/or Sub-Specialty of the Provider","“Privilege (Provider Type, Specialty, Sub-Specialty) does not match Provider’s (Provider Type, Specialty, Sub-Specialty)”
",,,,,,,,,,,,,,,,,,,
,File,Error,Conditions,10000,Validate field does not exceed character limit,Conditions exceeds character limit of 10000,,,,,,,,,,,,,,,,,,,
,,,Appt. Date,,Appt. Date not provided when Status = Approved (or a company configured equivalent),"Appt. Date is required when Status is ""Approved"" (or a company configured equivalent)",,,,,,,,,,,,,,,,,,,
,File,Error,,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Appt. Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,
,,,Reappt. Date,,Reappt. Date not provided when Status = Approved,"Reappt. Date is required when Status is ""Approved"" (or a company configured equivalent)",,,,,,,,,,,,,,,,,,,
,File,Error,,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Reappt. Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,
,,,,,Reappt. Date is before or same as Appt. Date,Reappt. Date must be after Appt. Date,,,,,,,,,,,,,,,,,,,
,File,Error,Status,,"If not left empty, validate field must be match a value in the company's Privilege Status configurable list",Status does not match an existing Status within the Company,,,,,,,,,,,,,,,,,,,
,Import,Error,Granted By,,Input value must match a name in the Privileges Granted By configurable list in Settings,Granted By does not match an existing Granted By within the Company,,,,,,,,,,,,,,,,,,,
,File,Error,Ignore Required Fields Validation?,,"If not left empty, validate field must be Y or N",Ignore Required Fields Validation? must be Y or N,,,,,,,,,,,,,,,,,,,
,File,Error,External ID and External ID Type,,"User has provided only one of External ID and External ID Type, but not both.",Must provide both External ID and External ID Type,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID,,External ID not provided by user,External ID required,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID Type,,"External ID Type is not one of: NPI, InternalID, ProviderID, EmrID, and BillingSystemID",External ID Type not valid,,,,,,,,,,,,,,,,,,,
,,,,,External ID Type not provided by user,External ID Type required,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID Type/External ID,,External ID does not match External ID of existing provider in company,No matching provider found,,,,,,,,,,,,,,,,,,,
,Import,Error,"NPI, Provider ID, Emr ID, Internal ID",,ID matches the ID of an exisiting provider in company,[ID Type] matches the [ID Type] of an existing provider,,,,,,,,,,,,,,,,,,,
,Import,Warning,"Provider data was updated, but provider is inactive",,,Provider was updated but is inactive.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CRED-31432,,,,,,,,,,,,,,,,,,,,,,,,
