,Provider Professional Account Import Format,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Account Name,Username,Password,ID,Notes,,,,,,,,,,,,,,,,,
Header notes:,^(Dummy Field),"Key field for updating, Required field","Key field for updating, Required field","Key field for updating, Required field",Key field for updating,,Key field for updating,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,
,File,Error,Account Name,,Account Name is not provided by user,Account Name required,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,
,Import,Error,,,Account Name doesn't match existing company-level Account Name,Account Name doesn't exist in provider's company,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,
,Import,Error,,,Account Name matches existing but archived company-level Account Name,Account Name is archived in provider's company,,Highlighted yellow fields are key fields for updating,,,,,,,,,,,,,,,,,
,File,Error,Username,50,Validate field does not exceed character limit ,Username exceeds character limit of 50,,,,,,,,,,,,,,,,,,,
,File,Error,Password,50,Validate field does not exceed character limit ,Password exceeds character limit of 50,,,,,,,,,,,,,,,,,,,
,File,Error,ID,250,Validate field does not exceed character limit ,ID exceeds character limit of 250,,,,,,,,,,,,,,,,,,,
,File,Error,Notes,500,Validate field does not exceed character limit ,Notes exceeds character limit of 500,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID,,External ID not provided by user,External Id required,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID Type,,"External ID Type is not one of: NPI, InternalID, ProviderID, EmrID, and BillingSystemID",External ID Type not valid,,,,,,,,,,,,,,,,,,,
,Import,,,,External ID Type not provided by user,External Id Type required,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
