,Work History Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Name of Facility / Employer,Department,Role,Start Date,End Date,Reason for Leaving,Address Line 1,Address Line 2,City,County,State,Zip,Country,Contact Name,Contact's Title/Position,Phone Number,Ext.,Email,Fax,Record Viewable by Provider,File Viewable by Provider,File Key,Note,User,TimeStamp,,,,,,,,,,,,,,,,,,,,,,,,,,
Header Notes:,^(Dummy Column),"Key field for updating, Required field","Key field for updating, Required field","Key field for updating, Required Field",Key field for updating,Key field for updating,Key field for updating,Key field for updating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Validations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field level validations match existing database and UI constraints. Also includes validation to prevent duplicate updates (duplicate external IDs in file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Name of Facility / Employer,150,Validate field does not exceed character limit,Work History Name exceeds character limit of 150,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Name of Facility / Employer is not provided by user,Name of Practice/Employer required,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Department,100,Validate field does not exceed character limit ,Department exceeds character limit of 100,,"""Current Position"" checkbox in Document Details drawer unchecked only if a valid End Date value is imported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Role,100,Validate field does not exceed character limit ,Role exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Start Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Start Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,End Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),End Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Reason for Leaving,100,Validate field does not exceed character limit,Reason for Leaving exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 1,100,Validate field does not exceed character limit,Address Line 1 exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Address Line 2,50,Validate field does not exceed character limit,Address Line 2 exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,City,50,Validate field does not exceed character limit,City exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,County,100,Validate field does not exceed character limit,County exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Warning,State,50,State is a valid value for country,[Imported value] is not a valid subdivison value for Country. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,State does not exceed 50 chars,State exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,State does not contain any non-ascii characters,State not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, State is in import file and differs from State on record. ",Country and State must be provided when updating State.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Zip,,Zip is <= 10 alphanumeric characters,Zip exceeds 10 characters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Country,,Country matches a value where Display = 'y' in Settings > Configurable Lists > Countries,Country is not recognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"When updating an existing record, Country and State exist on record, Country is in import file and differs from Country on record.",Country and State must be provided when updating Country or a record with State.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact Name,100,Validate field does not exceed character limit,Contact Name exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Contact's Title/Position,100,Validate field does not exceed character limit,Contact's Title/Position exceeds character limit of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Phone Number,,"Phone Number is not 9, 10, or 12 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.","Phone Number must be 9, 10, or 12-digit number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Ext.,20,Validate field does not exceed character limit,Ext.' must be a number up to 20 digits in length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Email,,Email address does not adhere to username@domain.com format.,Email not a valid email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Fax,,Fax is not 10 digits. Should fail if any formatting is included. Ex. (404) 555-1212 will trigger validation.,Fax must be 10-digit number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Record Viewable by Provider,,"If not left empty, validate field must be T or F",Record Viewable by Provider must be T or F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,File Viewable by Provider,,"If not left empty, validate field must be T or F",File Viewable by Provider must be T or F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,,,Record Viewable by Provider = 'F' and File Viewable by Provider = 'T',File Viewable by Provider must be set to ‘F’ on records where Record Viewable by Provider is set to ‘F’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID,,External ID not provided by user,External Id required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID Type,,"External ID Type is not one of: NPI, InternalID, ProviderID, EmrID, and BillingSystemID",External ID Type not valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,External ID Type not provided by user,External Id Type required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
